,Model Type,seed,jsd,pears,spear
38,NAugOutDouble,6806,0.1584495094678654,0.4194741653338257,0.36902416734853605
39,NStandard,6806,0.16061019899445755,0.41082354864974624,0.36323357864970757
40,RevComp,7626,0.16062775192572465,0.41141665618645223,0.3617715245858871
41,Siamese,7626,0.16025502992070864,0.40777970678331976,0.3608421875200473
42,Standard,7626,0.16176724163247044,0.4030421073750141,0.35804360291013054
43,AugWithin,7626,0.15979200725050957,0.41068888273004167,0.3622840165665572
44,NAugWithin,7626,0.15805832557537033,0.4198522614547086,0.36884862330736456
45,AugOut,7626,0.1593703698896511,0.4124831208884648,0.3643905114206335
46,AugOutDouble,7626,0.15959626420756154,0.411499747180435,0.36373346826856073
47,NAugOut,7626,0.15782514248009588,0.4213445013067642,0.37059130864732326
48,NAugOutDouble,7626,0.15791606504611225,0.4205693996514218,0.3698735325505761
49,NStandard,7626,0.15953439316252316,0.41472262448699493,0.36636144438999435
50,RevComp,2143,0.16281162291393106,0.39950153200749916,0.3545548704868371
51,Siamese,2143,0.16045652812669917,0.4085783415501694,0.361206455833643
52,Standard,2143,0.1611047226482216,0.40752663610094186,0.36072241754187484
53,AugWithin,2143,0.1593766115706214,0.4148609257587918,0.3656404425379955
54,NAugWithin,2143,0.1579822556037462,0.4226223033859768,0.3712986573333693
55,AugOut,2143,0.15875399224549203,0.4158824528889395,0.3664403132823762
56,AugOutDouble,2143,0.15910926721959437,0.4147650447139774,0.3660327007645943
57,NAugOut,2143,0.15727318083710923,0.4239645680155064,0.3720436490618192
58,NAugOutDouble,2143,0.15778195456393976,0.42232841397333354,0.37114896319213136
59,NStandard,2143,0.15932246625666877,0.41740927900878677,0.3674553068040687
60,RevComp,3578,0.15979532174773328,0.4126012303906686,0.36368419779539407
61,Siamese,3578,0.16086295702360578,0.4060931264918944,0.35948525723262004
62,Standard,3578,0.1620334454444719,0.4025904969269181,0.3571889371584089
63,AugWithin,3578,0.15961696152496566,0.4142969244921888,0.3656857360448858
64,NAugWithin,3578,0.15801575177742022,0.4235268374786797,0.3722281496021753
65,AugOut,3578,0.15971267949872547,0.4122635854380417,0.36378922542435205
66,AugOutDouble,3578,0.16068897582533961,0.4099809283571593,0.3624816297741554
67,NAugOut,3578,0.15808692732181026,0.421315229168366,0.37005025228956473
68,NAugOutDouble,3578,0.15939334343317224,0.417587189883445,0.36813601379488387
69,NStandard,3578,0.1602802164011051,0.41295471798156985,0.3645923221452297
70,RevComp,1780,0.15941786198447092,0.41201057916710726,0.364819711064555
71,Siamese,1780,0.1605462705471772,0.4086711890184656,0.36051575686046405
72,Standard,1780,0.16313374583985946,0.3983442442414703,0.35382124303109974
73,AugWithin,1780,0.1609424709758011,0.4074983702181655,0.36021190516802026
74,NAugWithin,1780,0.15925258938299944,0.41749968718558766,0.3669925951428853
75,AugOut,1780,0.1605135323785367,0.409256997500986,0.3616577143539294
76,AugOutDouble,1780,0.16005269748264295,0.41126360982304494,0.3631685361963482
77,NAugOut,1780,0.15889625617140724,0.41905409678458827,0.36866911871187696
78,NAugOutDouble,1780,0.15839565812297274,0.4207577825077402,0.3699128807539771
79,NStandard,1780,0.16090107290166622,0.4108798159453131,0.36278712884898284
80,RevComp,6117,0.1584584702551986,0.41514122154223193,0.36603221479345016
81,Siamese,6117,0.1591673981640602,0.4130384492343713,0.3645283319420399
82,Standard,6117,0.16212532083085507,0.40305140631534236,0.3573382582023654
83,AugWithin,6117,0.15947185911119122,0.41553244965588365,0.3661125508915411
84,NAugWithin,6117,0.15826880430430013,0.42248655944779234,0.371026310239346
85,AugOut,6117,0.15869649750186499,0.41498456926632205,0.36620209463015396
86,AugOutDouble,6117,0.15973759427546608,0.4117404179642433,0.36376774856657335
87,NAugOut,6117,0.15713375500811827,0.4238454312874858,0.37229256858012433
88,NAugOutDouble,6117,0.15787579673610497,0.421812935695836,0.37083987806234264
89,NStandard,6117,0.16001767244357143,0.41472151920322414,0.3655471946063623
90,RevComp,9295,0.15949365063176413,0.41457045428880446,0.3649416218437785
91,Siamese,9295,0.16013155507084798,0.41124354292591303,0.3628309137938947
92,Standard,9295,0.1624322359856603,0.3995918034937732,0.35498134689925287
93,AugWithin,9295,0.15894970298484765,0.41473810547027995,0.36631245071369106
94,NAugWithin,9295,0.15771713697260778,0.4218269532505828,0.3712227719843104
95,AugOut,9295,0.15908760825000143,0.41427860352973855,0.3644332733665846
96,AugOutDouble,9295,0.15880352575551857,0.41534535592921806,0.366094420696218
97,NAugOut,9295,0.15754790304452768,0.4232228445384197,0.3705112433985133
98,NAugOutDouble,9295,0.15718451823454538,0.4242241018705282,0.3724036237183512
99,NStandard,9295,0.15995148899143669,0.4132204642400206,0.3645288469105613
