,Model Type,seed,jsd,pears,spear
37,NAugOut,6806,0.15536838250324955,0.5332815269439142,0.42519614540991457
38,NAugOutDouble,6806,0.15768842457394341,0.5285945633562769,0.42208202962376673
39,NStandard,6806,0.16194924086180676,0.5118920025586201,0.40992180267250145
40,RevComp,7626,0.1647405580159279,0.5008798882748297,0.4037256035363636
41,Siamese,7626,0.16053925858601165,0.5144109005297951,0.41264772507759967
42,Standard,7626,0.16690722659235918,0.4930391632924708,0.39976536184778744
43,AugWithin,7626,0.15968288313292955,0.5179485658638828,0.41690193137371406
44,NAugWithin,7626,0.15632911336580532,0.5325539242266324,0.42484742887901067
45,AugOut,7626,0.15830715970457332,0.5214332930111216,0.4185227592088091
46,AugOutDouble,7626,0.15996690529466337,0.5179710194230647,0.4154614456528895
47,NAugOut,7626,0.1547711026169824,0.5369174839371142,0.4266015417339545
48,NAugOutDouble,7626,0.15701915177364242,0.5314144132702717,0.4227854804472874
49,NStandard,7626,0.16240367785452092,0.5121503917817037,0.41172971614381154
50,RevComp,2143,0.15986839046110102,0.5198580113786198,0.4181209316051167
51,Siamese,2143,0.16128583877447283,0.5109035873421084,0.41161000451890356
52,Standard,2143,0.1668262370937205,0.4942902212332235,0.4023083279598905
53,AugWithin,2143,0.1588797720540028,0.5213817352834358,0.4180868733797894
54,NAugWithin,2143,0.15583471381189817,0.5352582551878955,0.4259230296515922
55,AugOut,2143,0.15943837342611378,0.5174083362269425,0.41537299293989705
56,AugOutDouble,2143,0.16024536787051347,0.5158126235435694,0.4137368456900108
57,NAugOut,2143,0.15606766495840618,0.5327579575811595,0.42356396125523743
58,NAugOutDouble,2143,0.15657710456920265,0.5317820568097293,0.42255322316019106
59,NStandard,2143,0.16237573374780082,0.5142995169013294,0.41424002073535415
60,RevComp,3578,0.16237243267334972,0.5073137355216076,0.4070387402424535
61,Siamese,3578,0.1628606647439456,0.5059791700738844,0.4075933557054164
62,Standard,3578,0.16660024461061848,0.49247504638579964,0.40071100657365677
63,AugWithin,3578,0.16001492990315436,0.5138221706034944,0.41452302977436956
64,NAugWithin,3578,0.15619926002426823,0.5296321442777764,0.42344802580908053
65,AugOut,3578,0.1586943010874413,0.5185821470874346,0.41673420101286
66,AugOutDouble,3578,0.16143474702683355,0.5097979721818571,0.4119742529049515
67,NAugOut,3578,0.15540049407567477,0.5325722680494124,0.4241550557578237
68,NAugOutDouble,3578,0.15775230343738375,0.5259005586324764,0.42108497280670615
69,NStandard,3578,0.16152509590591965,0.5145649476505727,0.41392662127536467
70,RevComp,1780,0.16001386184064217,0.5160185762112648,0.41496932778404655
71,Siamese,1780,0.16324788178905908,0.505881928685747,0.40750689435969784
72,Standard,1780,0.1688587986814984,0.4846742083419001,0.3952749062936702
73,AugWithin,1780,0.15924290972107297,0.5155954858298606,0.4158842267004782
74,NAugWithin,1780,0.156000605754984,0.5292413317811835,0.4229697611603565
75,AugOut,1780,0.1586235467925111,0.5176983221807578,0.4155666577421387
76,AugOutDouble,1780,0.16142305877623506,0.5094088375017205,0.411602058090384
77,NAugOut,1780,0.15495122006463105,0.5328821396361502,0.42359019283319305
78,NAugOutDouble,1780,0.1582126810145878,0.5240471150825877,0.41947695253739575
79,NStandard,1780,0.1630626279101869,0.509033207059426,0.4102903519816437
80,RevComp,6117,0.15932904575459894,0.5204256779171401,0.41678040015368994
81,Siamese,6117,0.16250999417617168,0.5093618926321364,0.40887621767145754
82,Standard,6117,0.16591370349432016,0.49332083194376003,0.4010756232281002
83,AugWithin,6117,0.15943197023028727,0.5152062900104887,0.41536138807226175
84,NAugWithin,6117,0.15543356923669616,0.5313723694247796,0.4240482653229843
85,AugOut,6117,0.1585662653298784,0.5201381084916467,0.41757251937244444
86,AugOutDouble,6117,0.15918900718577916,0.5192761184152722,0.4167149314440679
87,NAugOut,6117,0.1553940660559076,0.5346953693762703,0.4253882694949838
88,NAugOutDouble,6117,0.1561437812292592,0.5333325255093121,0.4245994312050577
89,NStandard,6117,0.1606898547911843,0.5143122939932715,0.4129711967084862
90,RevComp,9295,0.15693462796819901,0.5241237782189107,0.41855137651277047
91,Siamese,9295,0.16252334104889987,0.5092744893410244,0.4093261320097163
92,Standard,9295,0.1658262653367201,0.4935949887755151,0.40045316896547495
93,AugWithin,9295,0.16146898722471983,0.5124927248460005,0.4105407427758619
94,NAugWithin,9295,0.1577723709669441,0.5284462007354727,0.41941685135539675
95,AugOut,9295,0.15884801945983354,0.5189874265427425,0.4180694191565467
96,AugOutDouble,9295,0.1598208393895596,0.5155231009605868,0.41411346767584617
97,NAugOut,9295,0.1555452310357822,0.5334507282303286,0.4259987220085135
98,NAugOutDouble,9295,0.1565562039894618,0.5294946023220226,0.42222344127703065
99,NStandard,9295,0.1606286144194186,0.5154087048914765,0.4125529414252956
