,Unnamed: 0,Model Type,seed,jsd,pears,spear
58,58,CJ-posthoc,9295,0.21748280142061285,0.3962897142513422,0.3045057059746614
59,59,RCPS-half,9295,0.2265226936602086,0.3675809017041297,0.2796075492092872
0,0,CJRCPS,1535,0.2252733996862632,0.3685015799940367,0.28045115528834297
1,1,CJRCPS,9999,0.2185347492004303,0.39078567646623896,0.3001093504005419
2,2,CJRCPS,4652,0.22174290119070972,0.37765119602669656,0.2920564543940354
3,3,CJRCPS,6806,0.21935807595468296,0.3903773608926992,0.2984793963260279
4,4,CJRCPS,7626,0.2168216393869439,0.3968691995465373,0.3034038760670412
5,5,CJRCPS,2143,0.2180606280489479,0.3911714807417584,0.30214665603106705
6,6,CJRCPS,3578,0.22072391788450368,0.3831243711835404,0.2951429805026068
7,7,CJRCPS,1780,0.2171517924529531,0.3947924553657041,0.3035093087130083
8,8,CJRCPS,6117,0.22024435188710267,0.3872551002304295,0.29533489546969866
9,9,CJRCPS,9295,0.21836749242373024,0.39440463308073775,0.30203817344021394
