,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
217,RCSumPoolBias,6117,0.9916695507586079,0.9806266680777228,loss
218,RCWeight,6117,0.991353150359207,0.9795791947232049,loss
219,Siamese,6117,0.9897981629251039,0.9763266826093285,loss
220,Standard,6117,0.9895871341293145,0.9754641627486146,loss
221,AugWithin,6117,0.9888392728703553,0.9738867016370778,loss
222,AugOut100,6117,0.9889152394289921,0.9737612189615152,loss
223,AugOutDouble,6117,0.9874121656498304,0.9702653271805868,loss
224,NStandard,6117,0.9895525567580832,0.9755747952028331,loss
225,NAugWithin,6117,0.9908330195384888,0.9780597179165131,loss
226,NAugOut100,6117,0.9901218511216227,0.9769697025886422,loss
227,NAugOutDouble,6117,0.9904645891332492,0.9774674434133634,loss
228,RCSumPool,9295,0.9916042250184045,0.9800231452605201,loss
229,RCSumPoolBias,9295,0.9915937322829315,0.9794474170820183,loss
230,RCWeight,9295,0.9916950316051346,0.9802352590361402,loss
231,Siamese,9295,0.9911415080768676,0.9788501071173309,loss
232,Standard,9295,0.9892375948788681,0.975007789921167,loss
233,AugWithin,9295,0.9886906081555633,0.9729351663081198,loss
234,AugOut100,9295,0.9890029362735557,0.9742434567611923,loss
235,AugOutDouble,9295,0.9872618825998289,0.9695917415174804,loss
236,NStandard,9295,0.9892180902375252,0.9747823239822055,loss
237,NAugWithin,9295,0.9911243727628896,0.9787665248719243,loss
238,NAugOut100,9295,0.9901683385938043,0.9766820750402166,loss
239,NAugOutDouble,9295,0.990954267750916,0.9788171341279063,loss
