,Model Type,seed,jsd,pears,spear,Train or Test
42,Standard-NoRCAug,3578,0.15110607162452575,0.5526161161260451,0.43854420209452216,train
43,Standard-RCAug,3578,0.1531162340964138,0.5450531181812692,0.4318319427576651,train
44,RCPS,3578,0.14841317632886253,0.5599970720182528,0.44019256416893643,train
45,CJ-duringtraining,3578,0.15095602157112092,0.551542719465089,0.436345328461707,train
46,CJ-posthoc,3578,0.15020462796939563,0.5579962902982057,0.4391437291624391,train
47,RCPS-half,3578,0.15538325380088067,0.536264699945208,0.42751409018849934,train
48,CJRCPS,3578,0.15152979998440524,0.5533788712642947,0.4380047674680328,train
49,Standard-NoRCAug,1780,0.15550300341113102,0.5355237163490343,0.42758835037997983,train
50,Standard-RCAug,1780,0.1551495770080454,0.5386642008135838,0.42860465783787105,train
51,RCPS,1780,0.14886626502007344,0.5579563246498577,0.4407456936237908,train
52,CJ-duringtraining,1780,0.15079411725727251,0.5516126606088037,0.4359991076556798,train
53,CJ-posthoc,1780,0.15219249997615392,0.5510854293591488,0.43611263379664267,train
54,RCPS-half,1780,0.16004541925939558,0.5216468710292385,0.4194358285399964,train
55,CJRCPS,1780,0.149423146315314,0.5555205645454907,0.4388466230741877,train
56,Standard-NoRCAug,6117,0.15103812047142337,0.5496633798778153,0.43540403680222334,train
57,Standard-RCAug,6117,0.152946920423045,0.5441467632195444,0.4328452362117951,train
58,RCPS,6117,0.14757006317636087,0.5624661605993321,0.4417734041259752,train
59,CJ-duringtraining,6117,0.15168052033662566,0.5546305572540886,0.43582875233697577,train
60,CJ-posthoc,6117,0.15003856580872918,0.5569132982848936,0.4399055189411978,train
61,RCPS-half,6117,0.1556588760201227,0.5373637851976943,0.42791493297272126,train
62,CJRCPS,6117,0.15091651368247344,0.5538347448854543,0.43879700614195916,train
63,Standard-NoRCAug,9295,0.1532264601851731,0.5442311675369874,0.4338926337640345,train
64,Standard-RCAug,9295,0.15447571067514304,0.5420042165274815,0.43032803459893426,train
65,RCPS,9295,0.1493562018237812,0.5540554483408018,0.4381674103511335,train
66,CJ-duringtraining,9295,0.14951857770348,0.5550838587264569,0.4387383393154959,train
67,CJ-posthoc,9295,0.15188675192934523,0.553659444011058,0.43704410478925143,train
68,RCPS-half,9295,0.15571055013711835,0.5365841869490076,0.42698410935124803,train
69,CJRCPS,9295,0.1481953021637208,0.5604165484655925,0.44015388373480485,train
