,Unnamed: 0,Model Type,seed,jsd,pears,spear,Train or Test
33,33.0,CJ-duringtraining,2143,0.2120743571615668,0.4389921647050024,0.32994215631752266,train
34,34.0,CJ-posthoc,2143,0.20600080195042847,0.4542409663587418,0.34226365848226703,train
35,35.0,RCPS-half,2143,0.22173573511665787,0.4017567619407685,0.3061525592367225,train
36,36.0,Standard-NoRCAug,3578,0.21162838064599626,0.4365267185911045,0.3300226543956021,train
37,37.0,Standard-RCAug,3578,0.2081899423756444,0.4454813743142071,0.3354995282877977,train
38,38.0,RCPS,3578,0.22396208701446774,0.3936404474869787,0.3008682575404805,train
39,39.0,CJ-duringtraining,3578,0.2089349716471333,0.4477598532406693,0.3357290818082671,train
40,40.0,CJ-posthoc,3578,0.20593093067990167,0.4560458110505585,0.3436225352169271,train
41,41.0,RCPS-half,3578,0.22534555150528826,0.3906699453482404,0.2957730176308317,train
42,42.0,Standard-NoRCAug,1780,0.2098984673292232,0.4410302779302765,0.33320791068157984,train
43,43.0,Standard-RCAug,1780,0.21080486173544397,0.44353371120187984,0.3339554493652019,train
44,44.0,RCPS,1780,0.21892419224859935,0.41445638976752536,0.31321518735932585,train
45,45.0,CJ-duringtraining,1780,0.2175296803988469,0.4207387205371546,0.317315254720536,train
46,46.0,CJ-posthoc,1780,0.20870668320210156,0.4536325183704374,0.3423614721439322,train
47,47.0,RCPS-half,1780,0.2233712035229676,0.3952648745552183,0.3025462715616248,train
48,48.0,Standard-NoRCAug,6117,0.2183728218133945,0.4165437613813533,0.31412459689026034,train
49,49.0,Standard-RCAug,6117,0.2133478166832981,0.4316178203730936,0.3256406644520846,train
50,50.0,RCPS,6117,0.21534088480915548,0.4230479124755847,0.3187725044235792,train
51,51.0,CJ-duringtraining,6117,0.20680770611629376,0.4537819465997222,0.3412565479413926,train
52,52.0,CJ-posthoc,6117,0.2116911677823424,0.4403216570777773,0.3318366888854897,train
53,53.0,RCPS-half,6117,0.21838096102454552,0.4144300015265803,0.31419216015964524,train
54,54.0,Standard-NoRCAug,9295,0.21700384277307866,0.4191038331447377,0.3176676728226514,train
55,55.0,Standard-RCAug,9295,0.2159122162641619,0.42028952862040897,0.3179809324079638,train
56,56.0,RCPS,9295,0.21898523724287944,0.4134329433926632,0.3128640792725915,train
57,57.0,CJ-duringtraining,9295,0.21349508427728556,0.4347168137687813,0.3266649081198075,train
58,58.0,CJ-posthoc,9295,0.2146159562611689,0.42731324228005896,0.32293084533296185,train
59,59.0,RCPS-half,9295,0.22860358060291405,0.3788000950003268,0.28846123183928823,train
0,,CJRCPS,1535,0.22678866927806587,0.38276330622901816,0.29073974453362916,train
1,,CJRCPS,9999,0.22022933064300332,0.40932269063647353,0.30862255391074395,train
2,,CJRCPS,4652,0.2202019576507624,0.4111244642270571,0.3110568615189938,train
3,,CJRCPS,6806,0.20991082210450088,0.444830349123001,0.3337321095185913,train
4,,CJRCPS,7626,0.2167172638546946,0.4300258733107284,0.3226412509094636,train
5,,CJRCPS,2143,0.2185925829902362,0.4112791877862487,0.31197546023566886,train
6,,CJRCPS,3578,0.2194062842348866,0.4143192337311333,0.3145071585781602,train
7,,CJRCPS,1780,0.21734717995155867,0.4207065302544578,0.3146856892547742,train
8,,CJRCPS,6117,0.21322703108902819,0.43355665347375116,0.32475469253952777,train
9,,CJRCPS,9295,0.21589088374294305,0.42028854651199,0.319632071348251,train
