,Unnamed: 0,Model Type,seed,jsd,pears,spear,Train or Test
24,24,CJ-duringtraining,6806,0.15158285667517596,0.41096697243741,0.35696118117373393,train
25,25,CJ-posthoc,6806,0.1528960624332581,0.4063205725460449,0.3531337802119123,train
26,26,RCPS-half,6806,0.1577122930436578,0.3823891777342874,0.3344318539993822,train
27,27,CJRCPS,6806,0.15133586372275384,0.4083059301921914,0.35422584500787674,train
28,28,Standard-NoRCAug,7626,0.1582307587255479,0.3789806765809059,0.3302193654746219,train
29,29,Standard-RCAug,7626,0.15317396186397197,0.402289779562546,0.3490741912593061,train
30,30,RCPS,7626,0.15678089501297596,0.3870474301138824,0.3366958236102993,train
31,31,CJ-duringtraining,7626,0.1450350008004399,0.4351257556536525,0.3759069348463393,train
32,32,CJ-posthoc,7626,0.15157578296509808,0.4122311661254741,0.35652278770135537,train
33,33,RCPS-half,7626,0.163876185353431,0.3595775905000256,0.31436199200510795,train
34,34,CJRCPS,7626,0.1564631021589057,0.38655309454126896,0.3380169016851789,train
35,35,Standard-NoRCAug,2143,0.15627544374608454,0.3869574538223772,0.3382527492182201,train
36,36,Standard-RCAug,2143,0.15728151723293213,0.387133796983312,0.3375083199088733,train
37,37,RCPS,2143,0.16167029786748988,0.3665466437210533,0.3195788477857248,train
38,38,CJ-duringtraining,2143,0.1552393875894968,0.39688528098279824,0.3447638434042403,train
39,39,CJ-posthoc,2143,0.15625867763361234,0.3940553433563956,0.3427079781689179,train
40,40,RCPS-half,2143,0.16594365469595626,0.3470139716691775,0.30451206741969106,train
41,41,CJRCPS,2143,0.15771736006824866,0.38350254481121937,0.3330460283396746,train
42,42,Standard-NoRCAug,3578,0.15609039550098164,0.3882621392928109,0.3399141626804235,train
43,43,Standard-RCAug,3578,0.15651559417953534,0.3848842770427321,0.3365668829460497,train
44,44,RCPS,3578,0.16016316744945966,0.3699625648236569,0.3233642960360161,train
45,45,CJ-duringtraining,3578,0.14993974550631764,0.4178546368181071,0.3628343241492595,train
46,46,CJ-posthoc,3578,0.1550539700644692,0.3943363951736408,0.3435828392811498,train
47,47,RCPS-half,3578,0.16272891528870073,0.35955116865308895,0.3170336492576425,train
48,48,CJRCPS,3578,0.1585411803356471,0.3797739790931859,0.3316295340774483,train
49,49,Standard-NoRCAug,1780,0.15510522854072056,0.3930073627473484,0.3431809418995189,train
50,50,Standard-RCAug,1780,0.15539796417233095,0.3926901679195377,0.34168021711507723,train
51,51,RCPS,1780,0.1482602202453008,0.41982870977721376,0.36279626667215975,train
52,52,CJ-duringtraining,1780,0.15541000724440987,0.3924562373348944,0.34226341791050685,train
53,53,CJ-posthoc,1780,0.1539293667262283,0.40193483399294544,0.3484418442306805,train
54,54,RCPS-half,1780,0.15946559754836362,0.375942112224903,0.3294257191667423,train
55,55,CJRCPS,1780,0.15326247535967558,0.4017898685584642,0.3488940701235083,train
56,56,Standard-NoRCAug,6117,0.15747589630327474,0.38430648385168414,0.3355147966549497,train
57,57,Standard-RCAug,6117,0.15113825823080146,0.4122756138063571,0.3563982116580174,train
58,58,RCPS,6117,0.13886300478668853,0.4578622544381941,0.3930137020255232,train
59,59,CJ-duringtraining,6117,0.15253139642882038,0.4053777339800986,0.3520069601096197,train
60,60,CJ-posthoc,6117,0.1496336814782128,0.4217858465946703,0.3632789302605955,train
61,61,RCPS-half,6117,0.15181207516772904,0.40847884848194493,0.3536460864220445,train
62,62,CJRCPS,6117,0.1528561306174559,0.4058878976581827,0.3516162161229289,train
63,63,Standard-NoRCAug,9295,0.1502781661080915,0.41572655065566777,0.3597237047111762,train
64,64,Standard-RCAug,9295,0.15416624435436008,0.3987494839518799,0.3471312950788377,train
65,65,RCPS,9295,0.1541018723835595,0.40146291574267096,0.3471058502316747,train
66,66,CJ-duringtraining,9295,0.1505099381861408,0.4152435233589583,0.359328007127524,train
67,67,CJ-posthoc,9295,0.1527774504830703,0.4079302665902883,0.3539238948339208,train
68,68,RCPS-half,9295,0.1572828705593732,0.3825564263127284,0.3337740838639517,train
69,69,CJRCPS,9295,0.1504847102214464,0.41519159606605616,0.3574151957085318,train
