,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
71,CJRCPS-all,0.9907898216234969,0.9784644804342407,upsample
72,Standard-NoRCAug,0.9882666572175633,0.9725673967509083,upsample
73,Standard-RCAug,0.9898549104309639,0.9755344179242915,upsample
74,RCPS-Sum,0.9922265753911504,0.981024331917347,upsample
75,RCPS-Avg,0.9922983744721902,0.9822823667588293,upsample
76,CJ-trained,0.9910247023532498,0.9789438944462923,upsample
77,CJ-posthoc,0.9912011643551623,0.9790601466636847,upsample
78,CJRCPS-early,0.9890769460216456,0.9679618205169852,upsample
79,CJRCPS-later,0.9902152703148664,0.9766936288761825,upsample
80,CJRCPS-all,0.9909687375716086,0.9790042021706646,upsample
81,Standard-NoRCAug,0.9888514791372264,0.9737674069935475,upsample
82,Standard-RCAug,0.9900991521192788,0.9763399793852263,upsample
83,RCPS-Sum,0.9921927278573665,0.9817035759288467,upsample
84,RCPS-Avg,0.9921774753124549,0.9813054135941381,upsample
85,CJ-trained,0.9912628937949007,0.9793158282380865,upsample
86,CJ-posthoc,0.9914139172597037,0.9796106459664371,upsample
87,CJRCPS-early,0.9839495523663656,0.9519323783043322,upsample
88,CJRCPS-later,0.985570997317583,0.9682933197808765,upsample
89,CJRCPS-all,0.9912342185873732,0.9798215790831708,upsample
