,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
46,Standard-RCAug,0.9285204093388237,0.7042746033492994,upsample
47,RCPS-Sum,0.927254528916933,0.6921048355033743,upsample
48,RCPS-Avg,0.92787046271701,0.6993175318975972,upsample
49,CJ-trained,0.9256816416343271,0.7054798478064448,upsample
50,CJ-posthoc,0.9328635243756727,0.721685009248756,upsample
51,CJRCPS-early,0.9259970145520017,0.6928002355307825,upsample
52,CJRCPS-later,0.9077530101347236,0.6376560723350017,upsample
53,CJRCPS-all,0.9255853976921751,0.7027514690595748,upsample
54,Standard-NoRCAug,0.9218120659936516,0.6903999097339385,upsample
55,Standard-RCAug,0.925230217429706,0.7092660186510761,upsample
56,RCPS-Sum,0.9244087666402244,0.6959872187208959,upsample
57,RCPS-Avg,0.9258102869036373,0.6910886034874677,upsample
58,CJ-trained,0.9273248860844769,0.7073863840591829,upsample
59,CJ-posthoc,0.927800997014552,0.7174682529597673,upsample
60,CJRCPS-early,0.9040515785240848,0.5859514010755963,upsample
61,CJRCPS-later,0.9168191757705825,0.6279980043385754,upsample
62,CJRCPS-all,0.9253884181953236,0.6963349221030364,upsample
63,Standard-NoRCAug,0.9202644483175174,0.6753347937340894,upsample
64,Standard-RCAug,0.9235883444643036,0.6909647921497143,upsample
65,RCPS-Sum,0.9216464249232791,0.6949463256481122,upsample
66,RCPS-Avg,0.9241508246463489,0.6905994004380595,upsample
67,CJ-trained,0.9249449828893563,0.71236867629975,upsample
68,CJ-posthoc,0.9267961101400998,0.7048552691624236,upsample
69,CJRCPS-early,0.9265241104275631,0.6774885010013074,upsample
70,CJRCPS-later,0.9117704661182922,0.6409258794685553,upsample
71,CJRCPS-all,0.9280615448294476,0.7073940398862467,upsample
72,Standard-NoRCAug,0.9237460652102596,0.6744412230598915,upsample
73,Standard-RCAug,0.9258563687911513,0.7081107908943047,upsample
74,RCPS-Sum,0.9252079650896787,0.6996933556087065,upsample
75,RCPS-Avg,0.928247758171032,0.705793182015354,upsample
76,CJ-trained,0.9274454395937772,0.7086978813796495,upsample
77,CJ-posthoc,0.930778764698202,0.7190666652632303,upsample
78,CJRCPS-early,0.8863792432366601,0.5105885454883322,upsample
79,CJRCPS-later,0.922293285704411,0.6953054882745966,upsample
80,CJRCPS-all,0.9286273851491244,0.714752988219687,upsample
81,Standard-NoRCAug,0.920710146573318,0.6855034079231608,upsample
82,Standard-RCAug,0.9231354116264603,0.6992701813187878,upsample
83,RCPS-Sum,0.9265325107716411,0.6927956671572832,upsample
84,RCPS-Avg,0.9242602348420763,0.6926172144576381,upsample
85,CJ-trained,0.927866416837005,0.7033704490643217,upsample
86,CJ-posthoc,0.9272124586223051,0.7146310935240757,upsample
87,CJRCPS-early,0.9265661121479536,0.7075522179209859,upsample
88,CJRCPS-later,0.9213378408551043,0.6876169407186361,upsample
89,CJRCPS-all,0.9285168777655989,0.7130950540560376,upsample
